,Karen,Scott,Jessica,write a review,A verified traveler,Kevin,William,R,S,Christopher,Contributor,Chris,Patricia,Lisa,Mike,John,Nancy,H,Jason,Stephen,Anonymous,Jeffrey,Jennifer,Linda,Richard,James,Charles,Robert,Paul,George,Barbara,Steve,Eric,Mark,Mary,C,Daniel,Donald,David,Thomas,Susan,A Traveler,M,Not Provided,B,Laura,xxxxxxxxxxxxxx,Michael,Joseph
La Quinta Inn and Suites Miami Cutler Bay,,,,,,,3.0,,,,,2.0,,,,,,,,,,3.0,,,,2.0,,,,,,,,,4.0,,,,,,,4.0,4.0,,,,,,
La Quinta Inn and Suites Nashville Franklin,5.0,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,1.0,,,4.0,,,,3.0,,,,,,,,,,4.0,4.0,,4.0,,,,
La Quinta Inn and Suites Sunrise,,,,,,,,,,,,,,3.0,,,,,,5.0,,,3.0,4.0,,,,,,,,,5.0,5.0,,,4.0,,,,,5.0,,,1.0,,,,
La Quinta Inn and Suites Tucson - Reid Park,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,5.0,,,5.0,,4.0,5.0
Lake Hill Cabins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeway Resort & Spa,,,5.0,,,,5.0,,,,,,,,,,5.0,3.0,,,5.0,5.0,,,,5.0,,,5.0,,,,,,4.0,,,,,,5.0,5.0,3.0,,,,,,
Lamothe House,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,5.0,,,5.0,5.0,,,,,,,,,,4.0,5.0,,4.0,,,5.0,
Landmark Inn Lakes-mountain Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Manor Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazy T Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leakey Springs Cabins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindy Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Belt Inn Neihart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Paradise Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magton Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandarin Oriental Jakarta,,,,,5.0,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
Manor Vail Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield Plantation Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquesa Hotel & Cafe Marquesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marriott Springhill Marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marriott's Mountainside At Park City,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
Martin Mason Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marylander Hotel Condo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mccamly Plaza Hotel,,3.0,,,,5.0,,3.0,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,5.0,,,3.0,,,5.0,
Melia Paris Champs-elys��es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
Melody Lodge Cabins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercure Curitiba Golden Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
Mericana Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merritt House Inn,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,5.0,
Microtel Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microtel Inn By Wyndham Knoxville,1.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,2.0,,,3.0,2.0,,,,,,
Microtel Inn and Suites By Wyndham Burlington,,,,,,,,,,,5.0,1.0,2.0,,3.0,2.0,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,4.0,5.0,,,,,,4.0,
Microtel of Ste Genevieve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midvalley Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milliken Creek Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miramar Boutique Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,5.0,,,,,,,
Miss Kitty's Boarding House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monarch Inn,,1.0,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,4.0,2.0,,,,,,3.0,,3.0,,,,2.0,,2.0,,,,,,,
Monterey Beach Dunes Inn,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,4.0,,,3.0,
Motel 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Lodge At Telluride - A Noble House Resort,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,4.0,,,,,5.0,,,3.0,,,,,,,
Mountaintop Lodge Bed Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt Gardner Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt. Washington Bed and Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nantahala Cabins Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nesco Manor Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Marriott Marquis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark Budget Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nippersink Country Club, Inc.",,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
North Country Inn B & B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwood Inn and Suites,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,2.0,1.0,,1.0,1.0,,,,,1.0,
Noyo Harbor Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Saco Inn Bed & Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olde Bridge Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P K Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Suites,,3.0,,,,,,,,,,2.0,,,3.0,,,,,,,,,3.0,,3.0,,3.0,,,,,,,4.0,,,,,4.0,,5.0,,,5.0,,,,
Parkside Inn At Incline,,,,,,,,,,,,,4.0,4.0,,3.0,,,,,,,3.0,,,,,4.0,,,4.0,,5.0,,,,,,,,,1.0,,,3.0,,,,
Pavilion Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelican Shores Inn,10.0,,10.0,,,,,,,,,,,,10.0,9.2,,,9.6,9.6,9.6,,,10.0,10.0,,10.0,,,,10.0,,,10.0,9.2,,,,7.9,,9.6,,,,,8.8,,9.6,
Pheasant Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pillar Hotels Resorts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Needles Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Shadows Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza Hut,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plaza Hotel and Casino - Las Vegas,,5.0,,,,,,,,,,,,,,,,,,5.0,,,1.0,,4.0,,,3.0,,,,,,3.0,,,4.0,4.0,3.0,,,4.0,,,,2.0,,3.0,
Port-o-call Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Progress Management Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protection Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive,,,,,,,,5.0,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,5.0,4.0,,5.0,,,,
Quality Inn,,,,,,,,,,,2.0,4.0,,,,,2.0,,,,,,,,1.0,,,3.0,,,,,,1.0,,,,,,4.0,,3.0,,,,,,3.0,
Quality Inn & Suites,,,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,1.0,,,,,,4.0,
Quality Inn & Suites - Riverfront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Inn & Suites Hanes Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Inn & Suites Historic St. Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Inn Gulfport,,,1.0,,,3.0,,,3.0,,,,,,,,,,,,1.0,4.0,,,5.0,3.0,,,,,,,,,,,3.0,,,,,1.0,,,,,,,
Quality Inn Johnson City,,,,,,,,,4.0,3.0,,,,,,,,4.0,,,,,,4.0,,4.0,,3.0,,,,,5.0,,3.0,,,,,,,3.0,,,,,,,
Quality Inn Long Beach Airport,,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,2.0,,,,,3.0,,1.0,,,,,,,,,,2.0,,,2.0,2.0,,,,,2.0,
Quality Inn Near Six Flags,,2.0,3.0,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,5.0,
Quality Inn Spearfish,4.0,,,,,,,,,,,,,,,2.0,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,
Quality Inn and Suites,,1.0,,,,,4.0,1.0,2.0,,,,4.0,,4.0,4.0,,3.0,2.0,3.0,,,1.0,5.0,1.0,,,,3.0,,,4.0,4.0,4.0,,,,,,,,4.0,,,,4.0,,4.0,
Quality Inn and Suites Big Rapids,,,,,,2.0,,4.0,,,,,,,,4.0,,,,,,,5.0,,,4.0,,,3.0,,,,,,1.0,,3.0,,4.0,,,5.0,,,,,,,
Quality Inn and Suites Eugene-springfield,,2.0,5.0,,,,,,,,,1.0,,,,5.0,,,,,,,,4.0,,,5.0,5.0,,,,,,3.0,,,,,,,,4.0,3.0,,,,,,
Quality Inn and Suites Irvine Spectrum,3.0,,,,,3.0,,,4.0,,,,,,,,5.0,,,,,,,,1.0,,5.0,4.0,,,3.0,1.0,,5.0,,,2.0,,,,4.0,4.0,,,,,,4.0,
Quality Suites Intercontinental Airport West,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,5.0,5.0,,,,,,,,5.0,,3.0,2.0,4.0,,3.0,,,,4.0,,5.0,
Quinta Real Acapulco,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,
Radisson Blu Conference and Airport Hotel,,2.0,,,,,4.0,,,,,5.0,,,,3.0,,,,,,,,,,5.0,,,4.0,,,,,,,,,,4.0,,,1.0,,,,,,,
Radisson Hotel Hauppauge-long Island,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raintree Inn,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramada,,,,4.0,,,5.0,,5.0,,,,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,
Ramada Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramada Vandalia,,5.0,,,,,,,,,,3.0,,,,,,,,4.0,,,,,,2.0,,,2.0,,,,,4.0,,,,,,,,2.0,,,,,,,
Red Carpet Inn,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,3.0,,,,,,,
Red Fox Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Rest Inn,,,,,,,2.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,2.0,,,,3.0,4.0,,,4.0,,,,,,,
Red Roof Inn Cedar Rapids,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,4.0,,4.0,,,,3.0,,,2.0,,,,,1.0,,1.0,,,,1.0,,2.0,
Red Roof Inn Erie,,,4.0,,,,5.0,,,2.0,5.0,,,,,,,,,,,4.0,,,,4.0,,,3.0,,,5.0,1.0,,,,5.0,,,,,5.0,4.0,4.0,,5.0,,,
Red Roof Inn St Louis - Troy,,,,,,,4.0,,,,,,,,5.0,,,,,,,,4.0,,,5.0,,4.0,,,,,,,,,,,,,,4.0,,4.0,,,,4.0,
Regency Inn Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relax Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residence Inn By Marriott Deptford,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,,4.0,,,4.0,,,,,,,5.0,,5.0,4.0,,,,4.0,,,,,,,
Residence Inn By Marriott Fort Lauderdale Weston,,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,5.0,,,,,4.0,,,5.0,,,,5.0,,5.0,5.0,,,,,,,
Residence Inn By Marriott Hartford Downtown,,,,,,5.0,,,,,,5.0,,,,,,,4.0,,,,,5.0,,4.0,,,5.0,,,4.0,,,,,,,,,,5.0,,,,4.0,,,
Residence Inn By Marriott Irvine John Wayne Airport,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,5.0,,,,5.0,5.0
Residence Inn By Marriott Springdale,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,5.0,,,,5.0,
Residence Inn By Marriott Tucson Williams Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,5.0,,,,,,,
Rideout's Lakeside Lodge Cottages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritz Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Oaks Golf Villas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside Motel and Cabins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robins Roost Cabins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock A Bye Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodeway Inn,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodeway Inn Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodeway Inn Bushnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodeway Inn Near Venice Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodeway Inn-tacoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roy-el Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saco River Recreational Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddleback Motor Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam's Town Hotel & Gmblng Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samui Cliff View Resort & Spa,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
Savaii Roberts Motels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School House Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sci�� On Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,
Sea View Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamrock Hill Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheraton Baltimore North Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheraton Offenbach Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,,,4.0,,,,,,5.0,
Sherwood Hills Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoshone Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sids Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simoni's Fremont Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpson House Inn,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,4.0,,,,,,5.0,
Sir Walter Raleigh Inns of Greenbelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Vue Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Inn At Harbour View,,,,,,,,,,,,,,,5.0,,,,,,,,,3.0,,,,,,,,,,,,,,5.0,3.0,,,4.0,,,4.0,,,5.0,
Sleep Inn Slidell,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,,1.0,,,
Solstice,4.0,,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,,3.0,,,,,,,1.0,,,,,,,4.0,,,,,5.0,5.0,
Sombrero Resort and Marina,,,,,,,,,,,,,,1.0,,1.0,,,,,,4.0,,,,,3.0,,,,,,,,,,,,,3.0,,1.0,,,1.0,,,5.0,
Sportsmen's Lodge,,,,,,,,,4.0,,,,,,,,4.0,,,,,,4.0,,5.0,,,,,,,,,,5.0,,,,,2.0,,4.0,,,,,,,1.0
Spring Bay Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Fountain Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springhill Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spruce Meadow Cabins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starwood Resorts Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling City Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratford Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suburban Extended Stay Warner Robins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
Suburban Extended Stay of Memphis Bartlett,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,
Summit At Big Sky,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,
Sunset Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Inn-yosemite Cabins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super 8 - Effingham,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,5.0,,,4.0,,,4.0,,,,,,,,3.0,,,,,,,
Super 8 - Upland,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,1.0,,2.0,,,,1.0,,,,,,,,2.0,3.0,,1.0,,,,1.0
Super 8 Alamosa,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super 8 Batesville Ar,,,,,,,3.0,,,,,,4.0,,,,,,,,,,,,,1.0,1.0,4.0,,,,,2.0,,,,,,,,,4.0,,,,,,,
Super 8 Belle Fourche,,,,,,,,,,,2.0,,,,,2.0,3.0,,,,2.0,,,,1.0,,,,,,,,,,,,,4.0,,,,5.0,,,,,,2.0,
Super 8 Big Cabin Vinita Ok,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,5.0,,4.0,,,,,,,
Super 8 Blackwell Ok,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,4.0,
Super 8 Bradenton Sarasota Area,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,1.0,,,,,,,4.0,,,,,,3.0,
Super 8 Carlisle-south,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super 8 Columbia Dwntwn Sc,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,
Super 8 Crete Ne,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,3.0,,,1.0,,,,5.0,,3.0,
Super 8 Dallas South,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,2.0,
Super 8 Elko Nv,,,,,,,,5.0,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,3.0,3.0,,2.0,,,4.0,4.0,4.0,,,3.0,,,2.0,
Super 8 Fort Collins,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,4.0,,,,3.0,,,,,,,
Super 8 Indianapolis,,,,,,,,,,,,,,,,2.0,,,,,,4.0,,,,,5.0,,,,,,,4.0,,,,,,,,5.0,,,,,,,
Super 8 Ithaca,,,,,,,,,,,1.0,,2.0,,,,,,,,,4.0,,4.0,,,,5.0,,,,,3.0,1.0,,,,,3.0,2.0,4.0,4.0,,,,,,,
Super 8 Kansas City Airport,,,,,,,,,,,,2.0,,,,3.0,,,,,,,,,3.0,4.0,,4.0,,,,,,1.0,,,4.0,3.0,,,,3.0,,3.0,,,,,
Super 8 Kingston,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,4.0,,,,,,,
Super 8 Longmont / Del Camino,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
Super 8 Madison,,,,,,,4.0,,,3.0,,,,3.0,,3.0,,,,4.0,,,4.0,,5.0,,,,,,,,4.0,,,,,,,,,4.0,,,,,,4.0,
Super 8 Manhattan Ks,,,,,,,,,,4.0,1.0,,,,,,,,5.0,,,,,,,,,,3.0,,,,,,,,3.0,,,,,3.0,,2.0,4.0,,,4.0,
Super 8 Metropolis,4.0,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,4.0,,3.0,,,,4.0,,3.0,3.0
Super 8 Motel Fairmont,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super 8 Pittsburgh/monroeville,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,3.0,,,3.0,2.0,,,,,,5.0
Super 8 Sallisaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super 8 Schenect/albany Area,,,4.0,,,,,,,,,,,,,,4.0,,,,,,3.0,,4.0,,,,3.0,,,,,,4.0,,,,,,,5.0,,,,,,,
Super 8 Worthington Minnesota,,5.0,,,,,,,,,5.0,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,5.0,,,
Terrace Inns Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Peak Ski Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Abbey Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
